                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1397,                 1.7876,                0.94107,                0.37054,                0.66912,                0.44442,                0.44408,                0.14695,                  1.311,                0.31691,             0.00027741,             0.00027741,             0.00027741
                      2,                 0.0877,                 1.4121,                0.90034,                0.50201,                0.58133,                0.50435,                0.50163,                0.13774,                 1.2317,                0.30047,             0.00044517,             0.00044517,             0.00044517
